Latitude: 66.855837  Longitude: -150.563028
X & Y on Lambert Conformal Conic: -2205037.83 3357324.66
Tile: 14055
Elevation: 354 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1980,1,3395.92,0.00,0.02,30.30,-40.97,-45.02,10.82
1980,2,4177.62,0.00,0.04,30.30,-38.17,-44.16,11.89
1980,3,4885.65,0.00,0.06,30.30,-36.22,-43.72,12.47
1980,4,5548.13,0.00,0.13,30.30,-29.95,-45.71,10.02
1980,5,6179.59,0.00,0.13,30.30,-21.33,-33.45,36.11
1980,6,6788.54,2.09,0.06,32.38,-18.68,-25.18,78.91
1980,7,7380.42,0.00,0.12,32.38,-20.15,-27.90,61.43
1980,8,7958.91,0.00,0.21,32.38,-20.05,-32.39,40.05
1980,9,8526.61,0.00,0.24,32.38,-21.08,-33.29,36.68
1980,10,9085.41,0.00,0.36,32.38,-29.32,-40.81,17.04
1980,11,9636.74,0.00,0.33,32.38,-34.03,-41.90,15.18
1980,12,10181.70,0.00,0.46,32.38,-31.47,-41.29,16.19
1980,13,10721.13,0.00,0.40,32.38,-31.85,-38.96,20.69
1980,14,11255.71,0.00,0.51,32.38,-31.51,-39.84,18.87
1980,15,11786.01,0.00,0.63,32.38,-33.29,-42.94,13.57
1980,16,12312.45,0.00,0.99,32.38,-34.11,-42.98,13.52
1980,17,12835.40,0.00,1.75,32.38,-27.58,-42.68,13.95
1980,18,13355.18,1.07,2.14,33.45,-7.86,-29.74,51.67
1980,19,13872.03,0.00,1.74,33.45,-2.34,-13.74,211.54
1980,20,14386.17,0.00,2.17,33.45,-2.67,-15.97,175.92
1980,21,14897.78,0.00,2.36,33.45,-0.73,-12.30,237.78
1980,22,15407.03,6.35,2.77,39.80,-2.64,-15.03,190.29
1980,23,15914.04,0.00,5.49,39.80,-13.48,-30.56,47.76
1980,24,16418.94,0.00,5.70,39.80,-24.66,-37.76,23.42
1980,25,16921.83,0.00,5.94,39.80,-22.63,-34.78,31.65
1980,26,17422.79,0.00,6.54,39.80,-18.45,-27.66,62.77
1980,27,17921.91,2.40,6.57,42.20,-12.09,-24.27,85.68
1980,28,18419.25,0.00,8.25,42.20,-13.96,-23.27,93.71
1980,29,18914.89,0.00,10.51,42.20,-14.23,-25.93,73.63
1980,30,19408.88,0.00,13.36,42.20,-22.64,-35.35,29.90
1980,31,19901.27,0.00,10.32,42.20,-30.52,-37.93,23.01
1980,32,20392.11,0.00,17.72,42.20,-26.06,-41.01,16.69
1980,33,20881.44,0.00,18.62,42.20,-18.19,-32.33,40.30
1980,34,21369.31,3.25,11.59,45.45,-16.57,-25.03,79.95
1980,35,21855.74,1.14,23.29,46.59,-12.32,-26.23,71.70
1980,36,22340.79,3.81,18.93,50.41,-6.47,-20.97,114.76
1980,37,22824.48,0.92,28.29,51.33,-4.83,-19.87,126.32
1980,38,23306.84,1.66,27.49,52.99,-3.63,-15.69,180.15
1980,39,23787.90,0.00,34.84,52.99,-9.40,-25.80,74.58
1980,40,24267.70,0.00,33.94,52.99,-6.30,-20.02,124.71
1980,41,24746.27,2.10,24.14,55.08,-3.04,-13.87,209.33
1980,42,25223.63,0.00,37.48,55.08,0.48,-11.98,244.12
1980,43,25699.81,0.00,31.25,55.08,-0.88,-9.82,290.06
1980,44,26174.83,0.00,41.61,55.08,-1.71,-13.51,215.62
1980,45,26648.74,0.00,43.18,55.08,-5.03,-16.31,170.99
1980,46,27121.54,0.00,48.35,55.08,-7.56,-19.67,128.47
1980,47,27593.28,0.00,53.40,55.08,-9.41,-21.85,106.23
1980,48,28063.97,0.00,55.69,55.08,-12.47,-24.40,84.66
1980,49,28533.64,0.00,65.44,55.08,-15.49,-30.08,50.02
1980,50,29002.33,0.00,66.58,55.08,-16.95,-30.19,49.48
1980,51,29470.05,0.00,74.24,55.08,-17.43,-32.37,40.11
1980,52,29936.84,0.00,66.84,55.08,-17.67,-29.08,54.96
1980,53,30402.72,0.00,75.09,55.08,-17.94,-30.24,49.26
1980,54,30867.73,0.00,94.64,55.08,-8.30,-28.56,57.76
1980,55,31331.88,0.86,76.90,55.95,-5.97,-17.49,154.77
1980,56,31795.21,0.00,102.81,55.95,-7.26,-26.59,69.36
1980,57,32257.74,0.00,98.11,55.95,-7.32,-22.71,98.43
1980,58,32719.51,0.00,109.09,55.95,-10.64,-29.03,55.24
1980,59,33180.54,0.00,108.78,55.95,-11.19,-27.54,63.49
1980,60,33640.87,0.00,107.55,55.95,-12.79,-27.59,63.21
1980,61,34100.52,0.00,109.31,55.95,-11.06,-25.47,76.82
1980,62,34559.52,0.00,87.37,55.95,-10.81,-20.53,119.25
1980,63,35017.91,0.00,66.57,55.95,-10.17,-16.90,162.75
1980,64,35475.71,0.00,105.62,55.95,-6.38,-17.75,151.43
1980,65,35932.95,0.00,103.46,55.95,-5.62,-16.12,173.67
1980,66,36389.67,0.00,105.24,55.95,-6.62,-16.74,164.87
1980,67,36845.90,0.00,113.75,55.95,-5.31,-15.96,176.10
1980,68,37301.67,0.00,112.73,55.95,-6.01,-16.07,174.47
1980,69,37757.01,0.00,121.80,55.95,-9.78,-20.22,122.55
1980,70,38211.96,0.77,134.82,56.72,-9.51,-20.98,114.73
1980,71,38666.53,0.36,154.69,57.08,-10.36,-24.14,86.69
1980,72,39120.78,0.00,153.13,57.08,-12.65,-25.52,76.51
1980,73,39574.73,0.00,176.52,57.08,-15.93,-32.33,40.30
1980,74,40028.41,0.00,187.49,57.08,-17.15,-35.20,30.35
1980,75,40481.86,0.00,193.87,57.08,-19.48,-38.17,22.46
1980,76,40935.11,0.00,196.21,57.08,-19.35,-37.53,23.97
1980,77,41388.19,0.00,208.01,57.08,-16.33,-37.02,25.26
1980,78,41841.13,0.00,208.45,57.08,-14.49,-33.94,34.41
1980,79,42293.98,0.00,220.90,57.08,-8.16,-30.69,47.18
1980,80,42746.76,0.00,195.17,57.08,-4.46,-20.08,117.75
1980,81,43199.50,0.00,180.90,57.08,-0.14,-13.48,190.97
1980,82,43652.25,0.00,198.69,57.08,0.62,-14.45,165.89
1980,83,44105.03,0.00,212.25,57.08,-0.56,-16.98,133.50
1980,84,44557.88,0.00,205.22,57.08,-1.22,-15.93,148.45
1980,85,45010.82,0.00,177.86,57.08,-2.37,-13.93,188.69
1980,86,45463.90,0.00,171.27,57.08,-5.39,-15.86,171.84
1980,87,45917.15,0.00,201.92,57.08,-4.83,-17.51,138.75
1980,88,46370.60,0.00,232.07,57.08,-4.02,-19.40,109.01
1980,89,46824.28,0.00,233.45,57.08,-1.98,-17.09,124.15
1980,90,47278.23,0.00,209.44,57.08,-1.83,-14.05,165.84
1980,91,47732.47,0.00,216.32,57.08,-1.20,-13.64,164.83
1980,92,48187.05,0.00,216.61,57.08,2.19,-10.10,198.53
1980,93,48641.99,0.00,215.65,57.08,3.10,-9.01,210.08
1980,94,49097.33,0.00,267.82,57.08,2.76,-14.38,118.08
1980,95,49553.10,0.00,191.05,57.08,-1.54,-11.50,205.14
1980,96,50009.33,0.00,217.47,57.08,-3.86,-15.38,147.67
1980,97,50466.05,0.00,206.19,57.08,-5.76,-16.30,140.07
1980,98,50923.29,0.00,193.36,57.08,-6.28,-15.82,151.37
